,AdaptorLong reward (mean),AdaptorLong reward (std),AdaptorLong prediction (mean),AdaptorLong prediction (std),Cautious QLearner reward (mean),Cautious QLearner reward (std),Cautious QLearner prediction (mean),Cautious QLearner prediction (std),Cooperator reward (mean),Cooperator reward (std),Cooperator prediction (mean),Cooperator prediction (std),Defector reward (mean),Defector reward (std),Defector prediction (mean),Defector prediction (std),Evolved ANN 5 Noise 05 reward (mean),Evolved ANN 5 Noise 05 reward (std),Evolved ANN 5 Noise 05 prediction (mean),Evolved ANN 5 Noise 05 prediction (std),Evolved ANN reward (mean),Evolved ANN reward (std),Evolved ANN prediction (mean),Evolved ANN prediction (std),Random reward (mean),Random reward (std),Random prediction (mean),Random prediction (std),Tit For Tat reward (mean),Tit For Tat reward (std),Tit For Tat prediction (mean),Tit For Tat prediction (std),Worse and Worse reward (mean),Worse and Worse reward (std),Worse and Worse prediction (mean),Worse and Worse prediction (std)
898,0.562,0.631787939,0.817040473,0.739811655,3.4941,1.165832402,5.07464071,2.250130611,3.8492,0.988564292,5.950457592,1.951612723,0.5723,0.494745096,0.842627159,0.67609067,1.5257,1.661788046,2.295974297,2.645925135,0.4901,0.503092427,0.694148615,0.659829924,1.6991,1.658480989,2.05306231,1.719499896,2.7118,1.845193963,4.153086203,1.968345346,0.4908,1.045043234,0.88865085,1.130570734
899,0.5745,0.628847955,0.821501949,0.729881094,3.4842,1.156784492,5.056452619,2.240556002,3.8472,0.988257133,5.920065363,2.004537592,0.5763,0.494144017,0.844148235,0.676841462,1.5283,1.664631824,2.283068907,2.643302631,0.4844,0.50294795,0.706514847,0.649027761,1.7084,1.653109022,2.073528839,1.732649936,2.7134,1.860929993,4.140755268,1.968529102,0.5074,1.060822907,0.908526403,1.136367805
900,0.57,0.616684684,0.825463589,0.740786257,3.4896,1.143718427,5.044296462,2.248578359,3.8626,0.990515643,5.924410722,2.007488925,0.569,0.495216114,0.833878882,0.680186526,1.5366,1.670766423,2.316484555,2.646126351,0.4975,0.504572839,0.716601425,0.653823199,1.7512,1.666762899,2.070693975,1.733255561,2.6751,1.869047883,4.122979044,1.954349723,0.5142,1.066863796,0.896145452,1.12852525
901,0.5529,0.622737176,0.813101133,0.74206297,3.4859,1.151694921,5.036746248,2.253909004,3.8396,0.987052096,5.928097689,1.96602742,0.5663,0.495584816,0.834852055,0.676557208,1.5173,1.658523654,2.300125764,2.641208689,0.4954,0.503168799,0.706774326,0.659249863,1.6962,1.659851066,2.109662057,1.730447133,2.6979,1.859310515,4.118857761,1.982187338,0.5009,1.054987768,0.883542023,1.122896782
902,0.5662,0.610915346,0.823881536,0.747057431,3.4723,1.166718779,5.051933027,2.245059841,3.8364,0.986526756,5.937310155,1.968017057,0.5703,0.495033241,0.843610029,0.673846599,1.5378,1.68670423,2.314405754,2.665303982,0.4993,0.503189338,0.718039005,0.649899812,1.6913,1.667514411,2.104636753,1.737367433,2.6879,1.853940018,4.156765124,1.936838505,0.5124,1.062659983,0.884759402,1.140462378
903,0.5569,0.602131539,0.817863551,0.748812757,3.4878,1.156482235,5.05221757,2.251058289,3.8594,0.990066483,5.945534747,1.978292982,0.5699,0.495089881,0.839702987,0.671623714,1.5168,1.660095708,2.296026631,2.646715948,0.4941,0.501762085,0.708675232,0.654695706,1.7463,1.671088361,2.113512291,1.740323922,2.6994,1.858450871,4.12309352,1.980773352,0.512,1.052642389,0.88800452,1.114982694
904,0.5685,0.621858304,0.820795671,0.763176609,3.4896,1.165457781,5.04605082,2.264706836,3.8514,0.988897386,5.909645735,2.011617424,0.567,0.495490666,0.832271416,0.675880384,1.53,1.673170643,2.309857091,2.656714101,0.494,0.501760899,0.707031977,0.654519938,1.7325,1.662270661,2.08472628,1.724734101,2.6925,1.858478881,4.102802994,1.990550927,0.4909,1.038035255,0.873260985,1.131200514
905,0.5584,0.603481102,0.817869741,0.744675975,3.4837,1.155826246,5.074756648,2.225738582,3.842,0.987439112,5.880214187,2.047319783,0.5689,0.495230037,0.833882261,0.677411698,1.5196,1.664036009,2.274248006,2.638065878,0.4871,0.50163093,0.695639646,0.659837401,1.6964,1.652460904,2.079938462,1.725657389,2.6875,1.852685551,4.126415546,1.966088721,0.4904,1.030003806,0.869185946,1.121245539
906,0.5608,0.609674799,0.814785683,0.744092302,3.4674,1.160576253,5.062914269,2.216193809,3.8314,0.985684554,5.928091136,1.959320305,0.5641,0.495874168,0.844144278,0.663915793,1.5133,1.648218162,2.28783243,2.619859932,0.489,0.504459116,0.694691079,0.660381973,1.714,1.67248438,2.083972893,1.738281271,2.7114,1.841496685,4.14223437,1.958391483,0.5069,1.057994513,0.865334873,1.104158359
907,0.5587,0.618509749,0.815299753,0.753374098,3.4774,1.172215526,5.06529911,2.232050719,3.8524,0.989047137,5.921315029,1.996662995,0.5717,0.494832406,0.847003377,0.671285295,1.5203,1.655834506,2.281295855,2.63411247,0.4869,0.504408951,0.704637647,0.652138391,1.7151,1.667312805,2.070524595,1.726655123,2.695,1.852990826,4.130293772,1.974978705,0.4935,1.033130074,0.861546872,1.11017716
